CRASH DATE,NUMBER OF PERSONS INJURED
01/03/2025,1
01/03/2025,1
01/03/2025,1
01/03/2025,1
01/03/2025,1
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,2
01/03/2025,1
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,3
01/03/2025,1
01/03/2025,1
01/03/2025,1
01/03/2025,3
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,2
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,3
01/03/2025,0
01/03/2025,3
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,0
01/03/2025,1
01/03/2025,1
01/03/2025,1
01/03/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,3
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,1
01/04/2025,2
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,3
01/04/2025,3
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,3
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,0
01/04/2025,2
01/04/2025,2
01/04/2025,0
01/04/2025,2
01/04/2025,0
01/04/2025,1
01/04/2025,2
01/04/2025,2
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,3
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,3
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,0
01/04/2025,0
01/04/2025,1
01/04/2025,1
01/04/2025,0
